AISelect,AISent,AIBen,AIAcc,AIComplex,AIThreat,AIEthics,AIChallenges,MainBranch,DevType,OrgSize,YearsCode,YearsCodePro,Country,CompTotal,Currency,Industry,Employment,RemoteWork,EdLevel,Age,TimeSearching,TimeAnswering,JobSat,PurchaseInfluence,ICorPM,WorkExp,AI_Status,Is_AI_User,Sentiment_Score,Sentiment_Category,Trust_Score,Complexity_Score,Company_Size_Category,Company_Size_Order,Years_Pro_Clean,Experience_Level,Threat_Category,Role_Category,Ben_Increase_productivit,Ben_Speed_up_learning,Ben_Greater_efficiency,Ben_Improve_accuracy_in_,Ben_Make_workload_more_m,Ben_Improve_collaboratio,Benefits_Count,Challenge_Trust,Challenge_Context,Challenge_Security,Challenge_Training,Challenge_Adoption,Challenges_Count,Time_Searching_Mins,Comp_Clean,Hourly_Rate_Est,Hours_Saved_Weekly_Low,Hours_Saved_Weekly_Mid,Hours_Saved_Weekly_High,Value_Annual_Low,Value_Annual_Mid,Value_Annual_High,ROI_Low,ROI_Mid,ROI_High,AI_Perception_Score,AI_Perception_Category,Region
Yes,Favorable,Increase productivity;Greater efficiency;Speed up learning,Somewhat distrust,"Good, but not great at handling complex tasks",I'm not sure,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Imitating a person's likeness;Energy demand,,I am a developer by profession,Student,,6,Less than 1 year,Switzerland,,,,"Student, full-time",,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18-24 years old,,,,,,,Using AI,1,4.0,Positive,2.0,4.0,,,0.5,Junior (0-2),Uncertain,Student,1,1,1,0,0,0,3,0,0,0,0,0,0,,,,2,5,8,,,,,,,3.333333333333333,Positive,Western Europe
Yes,Favorable,Increase productivity;Greater efficiency;Speed up learning;Make workload more manageable,Somewhat distrust,Neither good or bad at handling complex tasks,Yes,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Biased results that do not represent diverse viewpoints;Imitating a person's likeness;Energy demand,,I am a developer by profession,"Developer, full-stack",,,,United Kingdom of Great Britain and Northern Ireland,,,,"Employed, full-time","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,,,,,,,Using AI,1,4.0,Positive,2.0,3.0,,,,Unknown,Threatened,Full-Stack Developer,1,1,1,0,1,0,4,0,0,0,0,0,0,,,,2,5,8,,,,,,,3.0,Neutral,Western Europe
Yes,Very favorable,Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding,Highly distrust,Very well at handling complex tasks,No,,,I am a developer by profession,"Developer, full-stack",,15,15,Netherlands,,,,"Not employed, but looking for work",,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,,,,,,,Using AI,1,5.0,Positive,1.0,5.0,,,15.0,Expert (10+),Not Threatened,Full-Stack Developer,1,1,1,1,0,0,4,0,0,0,0,0,0,,,,2,5,8,,,,,,,3.6666666666666665,Positive,Western Europe
Yes,Favorable,Increase productivity;Speed up learning,Somewhat distrust,Neither good or bad at handling complex tasks,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Imitating a person's likeness,Don’t trust the output or answers;Lack of proper training and education on new tools,I am a developer by profession,"Developer, full-stack",,15,8,Croatia,,,Software Development,"Employed, full-time",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,15-30 minutes a day,30-60 minutes a day,9.0,,Individual contributor,10.0,Using AI,1,4.0,Positive,2.0,3.0,,,8.0,Senior (5-10),Not Threatened,Full-Stack Developer,1,1,0,0,0,0,2,1,0,0,1,0,2,22.5,,,2,5,8,,,,,,,3.0,Neutral,Other
"No, and I don't plan to",,,,,,,,"I used to be a developer by profession, but no longer am",,,2,,Australia,,,,"Not employed, and not looking for work",,Some college/university study without earning a degree,35-44 years old,,,,,,,Not Using,0,,,,,,,,Unknown,,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,5,8,,,,,,,3.0,Neutral,Oceania
"No, but I plan to soon",Favorable,,,,No,Circulating misinformation or disinformation;Biased results that do not represent diverse viewpoints,Lack of proper training and education on new tools;We don’t have the right policies in place to reduce security risks,"I am not primarily a developer, but I write code sometimes as part of my work/studies","Developer, full-stack",,30,30,Sweden,,,Retail and Consumer Services,"Employed, full-time","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",45-54 years old,15-30 minutes a day,30-60 minutes a day,7.0,,Individual contributor,31.0,Planning to Use,0,4.0,Positive,,,,,30.0,Expert (10+),Not Threatened,Full-Stack Developer,0,0,0,0,0,0,0,0,0,1,1,0,2,22.5,,,2,5,8,,,,,,,3.333333333333333,Positive,Western Europe
Yes,Very favorable,Increase productivity;Greater efficiency;Improve collaboration;Speed up learning;Improve accuracy in coding;Make workload more manageable,Somewhat trust,"Good, but not great at handling complex tasks",No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints,"AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools",I am a developer by profession,Data scientist or machine learning specialist,100 to 499 employees,3,1,Pakistan,2040000.0,PKR	Pakistani rupee,Software Development,"Employed, full-time;Student, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time","Hybrid (some remote, some in-person)","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",18-24 years old,30-60 minutes a day,60-120 minutes a day,10.0,I have some influence,People manager,3.0,Using AI,1,5.0,Positive,4.0,4.0,Mid (100-499),5.0,1.0,Junior (0-2),Not Threatened,Data Scientist/ML,1,1,1,1,1,1,6,0,1,0,1,0,2,45.0,,,2,5,8,,,,,,,4.333333333333333,Enthusiastic,South Asia
"No, and I don't plan to",,,,,,,,I am a developer by profession,"Developer, desktop or enterprise applications",,24,10,Czech Republic,,,Software Development,"Employed, full-time",In-person,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",35-44 years old,60-120 minutes a day,Less than 15 minutes a day,9.0,,Individual contributor,1.0,Not Using,0,,,,,,,10.0,Expert (10+),,Other Developer,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,,,2,5,8,,,,,,,3.0,Neutral,Western Europe
"No, and I don't plan to",,,,,,,,I am a developer by profession,"Developer, full-stack",,40,30,Switzerland,,,Manufacturing,"Employed, full-time","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",55-64 years old,Less than 15 minutes a day,Over 120 minutes a day,7.0,,Individual contributor,35.0,Not Using,0,,,,,,,30.0,Expert (10+),,Full-Stack Developer,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,,,2,5,8,,,,,,,3.0,Neutral,Western Europe
"No, but I plan to soon",Favorable,,,,No,Replacing jobs without options for new employment opportunities;Energy demand,Don’t trust the output or answers;Not everyone uses them,I am learning to code,Designer,,4,,India,,,,"Not employed, but looking for work",,Some college/university study without earning a degree,25-34 years old,,,,,,,Planning to Use,0,4.0,Positive,,,,,,Unknown,Not Threatened,Other Developer,0,0,0,0,0,0,0,1,0,0,0,1,2,,,,2,5,8,,,,,,,3.333333333333333,Positive,South Asia
"No, and I don't plan to",,,,,,,,I am a developer by profession,Database administrator,,31,25,United States of America,,,Software Development,"Employed, full-time",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",45-54 years old,60-120 minutes a day,60-120 minutes a day,6.0,,Individual contributor,25.0,Not Using,0,,,,,,,25.0,Expert (10+),,Other Developer,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,,,2,5,8,,,,,,,3.0,Neutral,North America
Yes,Indifferent,Greater efficiency;Speed up learning;Make workload more manageable,Somewhat trust,Bad at handling complex tasks,No,Circulating misinformation or disinformation;Replacing jobs without options for new employment opportunities;Imitating a person's likeness,Don’t trust the output or answers;Not everyone uses them,I am a developer by profession,"Developer, full-stack",,10,5,Republic of North Macedonia,,,Software Development,"Employed, full-time;Student, part-time","Hybrid (some remote, some in-person)",Some college/university study without earning a degree,18-24 years old,30-60 minutes a day,60-120 minutes a day,7.0,,Individual contributor,5.0,Using AI,1,3.0,Neutral,4.0,2.0,,,5.0,Senior (5-10),Not Threatened,Full-Stack Developer,0,1,1,0,1,0,3,1,0,0,0,1,2,45.0,,,2,5,8,,,,,,,3.0,Neutral,Other
"No, but I plan to soon",Very unfavorable,,,,I'm not sure,Missing or incorrect attribution for sources of data;Imitating a person's likeness,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge",I am a developer by profession,"Developer, full-stack",,30,24,United States of America,,,Government,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",45-54 years old,15-30 minutes a day,15-30 minutes a day,8.0,,Individual contributor,28.0,Planning to Use,0,1.0,Negative,,,,,24.0,Expert (10+),Uncertain,Full-Stack Developer,0,0,0,0,0,0,0,1,1,0,0,0,2,22.5,,,2,5,8,,,,,,,2.333333333333333,Neutral,North America
Yes,Indifferent,Greater efficiency;Speed up learning;Improve accuracy in coding,Somewhat distrust,Neither good or bad at handling complex tasks,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints;Imitating a person's likeness;Energy demand,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge",I am a developer by profession,Engineering manager,,42,26,United States of America,,,Software Development,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",45-54 years old,30-60 minutes a day,60-120 minutes a day,8.0,,People manager,26.0,Using AI,1,3.0,Neutral,2.0,3.0,,,26.0,Expert (10+),Not Threatened,Manager/Executive,0,1,1,1,0,0,3,1,1,0,0,0,2,45.0,,,2,5,8,,,,,,,2.6666666666666665,Neutral,North America
"No, and I don't plan to",,,,,,,,I am a developer by profession,"Developer, desktop or enterprise applications",,20,10,Germany,,,Software Development,"Employed, full-time","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,60-120 minutes a day,30-60 minutes a day,7.0,,Individual contributor,10.0,Not Using,0,,,,,,,10.0,Expert (10+),,Other Developer,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,,,2,5,8,,,,,,,3.0,Neutral,Western Europe
Yes,Unsure,Increase productivity;Greater efficiency,Somewhat distrust,Bad at handling complex tasks,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Energy demand,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools",I am a developer by profession,"Developer, full-stack",,12,9,Finland,,,Software Development,"Employed, full-time;Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,30-60 minutes a day,15-30 minutes a day,7.0,,Individual contributor,13.0,Using AI,1,3.0,Neutral,2.0,2.0,,,9.0,Senior (5-10),Not Threatened,Full-Stack Developer,1,0,1,0,0,0,2,1,1,0,1,0,3,45.0,,,2,5,8,,,,,,,2.333333333333333,Neutral,Western Europe
"No, but I plan to soon",Favorable,,,,No,Circulating misinformation or disinformation,"AI tools lack context of codebase,  internal architecture, and/or company knowledge",I am a developer by profession,DevOps specialist,,34,20,Slovakia,,,Computer Systems Design and Services,"Employed, full-time;Independent contractor, freelancer, or self-employed",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,30-60 minutes a day,30-60 minutes a day,4.0,,Individual contributor,30.0,Planning to Use,0,4.0,Positive,,,,,20.0,Expert (10+),Not Threatened,DevOps/SRE,0,0,0,0,0,0,0,0,1,0,0,0,1,45.0,,,2,5,8,,,,,,,3.333333333333333,Positive,Other
"No, and I don't plan to",,,,,,,,I am a developer by profession,"Developer, back-end",,15,4,Poland,,,"Internet, Telecomm or Information Services","Employed, full-time",Remote,Some college/university study without earning a degree,25-34 years old,60-120 minutes a day,15-30 minutes a day,2.0,,Individual contributor,5.0,Not Using,0,,,,,,,4.0,Mid (2-5),,Back-End Developer,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,,,2,5,8,,,,,,,3.0,Neutral,Western Europe
"No, and I don't plan to",,,,,,,,I am a developer by profession,"Developer, desktop or enterprise applications",,19,12,United States of America,,,,"Not employed, but looking for work",,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,,,,,,,Not Using,0,,,,,,,12.0,Expert (10+),,Other Developer,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,5,8,,,,,,,3.0,Neutral,North America
"No, and I don't plan to",,,,,,,,I code primarily as a hobby,Other (please specify):,,4,,United States of America,,,,"Not employed, and not looking for work",,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",18-24 years old,,,,,,,Not Using,0,,,,,,,,Unknown,,Other Developer,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,5,8,,,,,,,3.0,Neutral,North America
Yes,Favorable,Increase productivity;Speed up learning,Neither trust nor distrust,Bad at handling complex tasks,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data,Don’t trust the output or answers;Lack of proper training and education on new tools,I am a developer by profession,"Developer, full-stack",,40,29,United Kingdom of Great Britain and Northern Ireland,,,Software Development,"Employed, full-time","Hybrid (some remote, some in-person)","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",45-54 years old,30-60 minutes a day,30-60 minutes a day,8.0,,Individual contributor,29.0,Using AI,1,4.0,Positive,3.0,2.0,,,29.0,Expert (10+),Not Threatened,Full-Stack Developer,1,1,0,0,0,0,2,1,0,0,1,0,2,45.0,,,2,5,8,,,,,,,3.0,Neutral,Western Europe
"No, and I don't plan to",,,,,,,,I am a developer by profession,"Developer, full-stack",,12,9,Germany,,,,"Employed, full-time","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,,,,,,,Not Using,0,,,,,,,9.0,Senior (5-10),,Full-Stack Developer,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,5,8,,,,,,,3.0,Neutral,Western Europe
"No, and I don't plan to",,,,,,,,I am a developer by profession,"Developer, full-stack",,20,20,United Kingdom of Great Britain and Northern Ireland,,,,"Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,,,,,,,Not Using,0,,,,,,,20.0,Expert (10+),,Full-Stack Developer,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,5,8,,,,,,,3.0,Neutral,Western Europe
"No, but I plan to soon",Favorable,,,,No,Circulating misinformation or disinformation;Replacing jobs without options for new employment opportunities,Not everyone uses them,I am learning to code,Security professional,,2,,India,,,Higher Education,"Employed, full-time",In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,60-120 minutes a day,Less than 15 minutes a day,8.0,,Individual contributor,3.0,Planning to Use,0,4.0,Positive,,,,,,Unknown,Not Threatened,Other Developer,0,0,0,0,0,0,0,0,0,0,0,1,1,90.0,,,2,5,8,,,,,,,3.333333333333333,Positive,South Asia
"No, and I don't plan to",,,,,,,,I code primarily as a hobby,Designer,,2,,Russian Federation,,,,I prefer not to say,,Some college/university study without earning a degree,18-24 years old,,,,,,,Not Using,0,,,,,,,,Unknown,,Other Developer,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,5,8,,,,,,,3.0,Neutral,Eastern Europe
Yes,Indifferent,Greater efficiency;Other (please specify):,Highly distrust,Very poor at handling complex tasks,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Biased results that do not represent diverse viewpoints;Imitating a person's likeness;Energy demand,,I code primarily as a hobby,Student,,7,,Poland,,,,"Student, full-time",,Primary/elementary school,Under 18 years old,,,,,,,Using AI,1,3.0,Neutral,1.0,1.0,,,,Unknown,Not Threatened,Student,0,0,1,0,0,0,2,0,0,0,0,0,0,,,,2,5,8,,,,,,,1.6666666666666667,Skeptical,Western Europe
Yes,Favorable,Increase productivity;Greater efficiency,Neither trust nor distrust,Neither good or bad at handling complex tasks,I'm not sure,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints;Energy demand,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge",I am a developer by profession,"Senior Executive (C-Suite, VP, etc.)",,40,37,United States of America,,,Computer Systems Design and Services,"Employed, full-time","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",55-64 years old,30-60 minutes a day,60-120 minutes a day,4.0,,People manager,37.0,Using AI,1,4.0,Positive,3.0,3.0,,,37.0,Expert (10+),Uncertain,Manager/Executive,1,0,1,0,0,0,2,1,1,0,0,0,2,45.0,,,2,5,8,,,,,,,3.333333333333333,Positive,North America
"No, but I plan to soon",Favorable,,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Energy demand,Don’t trust the output or answers,I am a developer by profession,"Developer, full-stack",,10,4,Ireland,,,"Transportation, or Supply Chain","Employed, full-time","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,30-60 minutes a day,Less than 15 minutes a day,6.0,,Individual contributor,4.0,Planning to Use,0,4.0,Positive,,,,,4.0,Mid (2-5),Not Threatened,Full-Stack Developer,0,0,0,0,0,0,0,1,0,0,0,0,1,45.0,,,2,5,8,,,,,,,3.333333333333333,Positive,Western Europe
Yes,Favorable,Increase productivity,Highly distrust,Very poor at handling complex tasks,Yes,,Don’t trust the output or answers,I am learning to code,"Developer, full-stack",,4,,"Iran, Islamic Republic of...",,,,"Student, part-time",,Some college/university study without earning a degree,Under 18 years old,,,,,,,Using AI,1,4.0,Positive,1.0,1.0,,,,Unknown,Threatened,Full-Stack Developer,1,0,0,0,0,0,1,1,0,0,0,0,1,,,,2,5,8,,,,,,,2.0,Skeptical,Other
Yes,Favorable,Greater efficiency;Speed up learning,Neither trust nor distrust,Bad at handling complex tasks,Yes,Circulating misinformation or disinformation;Replacing jobs without options for new employment opportunities;Biased results that do not represent diverse viewpoints,Don’t trust the output or answers;Lack of proper training and education on new tools,I am a developer by profession,"Developer, full-stack",,6,2,Greece,,,Higher Education,"Employed, full-time",In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,30-60 minutes a day,15-30 minutes a day,3.0,,Individual contributor,6.0,Using AI,1,4.0,Positive,3.0,2.0,,,2.0,Mid (2-5),Threatened,Full-Stack Developer,0,1,1,0,0,0,2,1,0,0,1,0,2,45.0,,,2,5,8,,,,,,,3.0,Neutral,Other
Yes,Very favorable,Increase productivity;Greater efficiency;Improve accuracy in coding;Make workload more manageable,Somewhat trust,"Good, but not great at handling complex tasks",Yes,Biased results that do not represent diverse viewpoints;Energy demand,"AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of executive buy-in;We don’t have the right policies in place to reduce security risks",I am a developer by profession,"Developer, mobile",,11,7,India,,,Software Development,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,30-60 minutes a day,30-60 minutes a day,7.0,,Individual contributor,7.0,Using AI,1,5.0,Positive,4.0,4.0,,,7.0,Senior (5-10),Threatened,Mobile Developer,1,0,1,1,1,0,4,0,1,1,0,0,3,45.0,,,2,5,8,,,,,,,4.333333333333333,Enthusiastic,South Asia
"No, but I plan to soon",Very unfavorable,,,,No,Biased results that do not represent diverse viewpoints,Don’t trust the output or answers,I am a developer by profession,"Developer, full-stack",,37,33,United States of America,,,,"Employed, full-time","Hybrid (some remote, some in-person)","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",55-64 years old,,,,,,,Planning to Use,0,1.0,Negative,,,,,33.0,Expert (10+),Not Threatened,Full-Stack Developer,0,0,0,0,0,0,0,1,0,0,0,0,1,,,,2,5,8,,,,,,,2.333333333333333,Neutral,North America
Yes,Very favorable,Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding;Make workload more manageable,Highly trust,"Good, but not great at handling complex tasks",No,Circulating misinformation or disinformation,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of executive buy-in;We don’t have the right policies in place to reduce security risks",I am a developer by profession,"Developer, back-end",,4,1,Italy,,,"Transportation, or Supply Chain","Employed, full-time","Hybrid (some remote, some in-person)","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",18-24 years old,15-30 minutes a day,15-30 minutes a day,8.0,,Individual contributor,1.0,Using AI,1,5.0,Positive,5.0,4.0,,,1.0,Junior (0-2),Not Threatened,Back-End Developer,1,1,1,1,1,0,5,1,1,1,0,0,4,22.5,,,2,5,8,,,,,,,4.666666666666667,Enthusiastic,Western Europe
"No, and I don't plan to",,,,,,,,I code primarily as a hobby,"Developer, game or graphics",,2,,Israel,,,,"Student, full-time",,Primary/elementary school,Under 18 years old,,,,,,,Not Using,0,,,,,,,,Unknown,,Other Developer,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,5,8,,,,,,,3.0,Neutral,Middle East
